gndr;brth_yr;prsnt_age;erly_pnsn_flg;accnt_status;pnsn_age;avrg_sum;sum_sum;min_sum;max_sum;lrgst_sum;mnmm_sum;one_for_trnsctn;trnsctns_frnqnc;trnsctns_frnqnc_max;trnsctns_frnqnc_min;frnqnt_trnsctn;frnqnt_trnsctn_1;frnqnt_trnsctn_0;nmbr_of_trnsltns;trnsltn_vltn
0;1971;53;1;0;60;-7373.412516252371;-235949.20052007586;-527498.0737500563;291548.87322998047;155518.515625;-249568.96875;-7373.412516252371;21644593.548387095;512438400.0;0.0;1.0;19.0;13.0;32;0.36
1;1956;68;0;1;60;-118.71394643079685;-4511.1299643702805;-8517.389949340373;4006.259984970093;3313.22998046875;-3313.219970703125;-118.71394643079685;11028843.243243244;36374400.0;0.0;0.0;0.0;38.0;38;0.32
0;1968;56;1;0;60;-17256.585782005237;-224335.61516606808;-246187.74602544308;21852.130859375;21852.130859375;-137655.546875;-17256.585782005237;20764800.0;36374400.0;0.0;0.0;0.0;13.0;13;0.08
0;1958;66;0;1;55;-0.00744307136126593;-0.37959663942456245;-18962.86984444037;18962.490247800946;5738.81005859375;-5738.81005859375;-0.00744307136126593;10684224.0;36374400.0;0.0;0.0;4.0;47.0;51;0.5
0;1957;67;0;1;55;-0.009796386394573718;-0.48002293333411217;-9082.780136458576;9082.300113525242;2650.2900390625;-2650.2900390625;-0.009796386394573718;10461600.0;36374400.0;0.0;0.0;4.0;45.0;49;0.5
1;1957;67;0;1;60;0.0011538851719636184;0.060002028942108154;-2899.610040962696;2899.670042991638;635.9000244140625;-635.8900146484375;0.0011538851719636184;9222776.470588235;63936000.0;0.0;0.0;4.0;48.0;52;0.5
0;1958;66;0;1;55;-62.94716911943946;-6672.399926660582;-30011.579247949645;23339.179321289062;10119.4296875;-10119.4296875;-62.94716911943946;4176000.0;63158400.0;0.0;0.0;8.0;98.0;106;0.44
0;1959;65;0;1;55;0.0012298115904916798;0.07009926065802574;-37350.42108497396;37350.49118423462;8217.900390625;-8217.900390625;0.0012298115904916798;10131942.857142858;63936000.0;0.0;0.0;4.0;53.0;57;0.5
1;1966;58;1;0;65;-1080.096130398012;-133931.92016935349;-278935.8368258476;145003.91665649414;74666.65625;-74666.65625;-1080.096130398012;2974829.268292683;31622400.0;0.0;0.0;16.0;108.0;124;0.34
1;1960;64;0;1;61;-0.06595352191764575;-3.429583139717579;-21229.569844353944;21226.140261214226;6457.81005859375;-6457.81005859375;-0.06595352191764575;10474729.411764706;32400000.0;0.0;0.0;4.0;48.0;52;0.5
0;1968;56;1;0;60;-1340.940205966627;-64365.12988639809;-147727.93732238747;83362.80743598938;54553.578125;-54553.578125;-1340.940205966627;3551591.489361702;21254400.0;0.0;0.0;14.0;34.0;48;0.36
1;1955;69;0;1;60;-37.876662629842755;-2272.5997577905655;-12630.439967751503;10357.840209960938;3307.610107421875;-3307.610107421875;-37.876662629842755;8265111.86440678;34041600.0;0.0;0.0;6.0;54.0;60;0.45
0;1961;63;0;1;55;-0.23375000348314642;-9.350000139325857;-6167.90998422727;6158.559984087944;2871.0;-2871.0;-0.23375000348314642;10463261.538461538;69724800.0;0.0;0.0;6.0;34.0;40;0.5
1;1967;57;1;0;65;-2855.3469046724254;-165610.12047100067;-347018.0113401413;181407.89086914062;105290.7421875;-105290.7421875;-2855.3469046724254;6711915.789473684;31622400.0;0.0;0.0;2.0;56.0;58;0.34
0;1963;61;0;1;55;0.0016661749945746528;0.02999114990234375;-3917.7399826049805;3917.769973754883;1163.3900146484375;-1163.3900146484375;0.0016661749945746528;16878494.11764706;63072000.0;0.0;0.0;4.0;14.0;18;0.5
1;1959;65;0;1;60;-0.012504783244087147;-0.6502487286925316;-17374.01024278067;17373.359994051978;5435.56005859375;-5435.56005859375;-0.012504783244087147;10474729.411764706;36374400.0;0.0;0.0;4.0;48.0;52;0.5
0;1968;56;1;0;60;-1276.7025195530482;-71495.3410949707;-173276.55017089844;101781.20907592773;64586.5390625;-86638.28125;-1276.7025195530482;10685323.636363637;512611200.0;0.0;1.0;50.0;6.0;56;0.37
0;1968;56;1;0;60;-4910.305446689412;-289708.0213546753;-292364.9813156128;2656.9599609375;2656.9599609375;-58035.6015625;-4910.305446689412;4750510.344827586;31622400.0;0.0;0.0;0.0;59.0;59;0.01
0;1962;62;0;1;55;-88.58150044642389;-1771.6300089284778;-1928.0700052678585;156.43999633938074;156.33999633789062;-615.6199951171875;-88.58150044642389;18116715.789473683;63072000.0;0.0;0.0;0.0;20.0;20;0.08
1;1958;66;0;1;60;-0.005882161833784159;-0.29999025352299213;-19639.349726581946;19639.049736328423;5711.830078125;-5711.81982421875;-0.005882161833784159;11308032.0;36374400.0;0.0;0.0;4.0;47.0;51;0.5
0;1960;64;0;1;55;0.0007845235659795649;0.04001070186495781;-11072.819710750133;11072.859721451998;3148.909912109375;-3148.89990234375;0.0007845235659795649;8161344.0;32400000.0;0.0;0.0;10.0;41.0;51;0.5
0;1961;63;0;1;55;0.0009230023966385768;0.05999515578150749;-15570.3297839351;15570.389779090881;2668.93994140625;-2668.929931640625;0.0009230023966385768;7846200.0;36374400.0;0.0;0.0;12.0;53.0;65;0.5
0;1968;56;1;0;60;-2254.7901708050035;-263810.4499841854;-270228.0701013729;6417.6201171875;5003.14013671875;-9692.16015625;-2254.7901708050035;3417268.9655172415;31622400.0;0.0;0.0;0.0;117.0;117;0.02
1;1969;55;1;0;65;-1071.1938416246344;-204598.02375030518;-556228.291633606;351630.2678833008;127774.9609375;-182817.359375;-1071.1938416246344;3095393.6842105263;512611200.0;0.0;1.0;150.0;41.0;191;0.39
1;1960;64;0;1;61;-0.07764165629358853;-3.959724470973015;-19996.91014926508;19992.950424794108;7989.240234375;-7989.240234375;-0.07764165629358853;10679040.0;32400000.0;0.0;0.0;4.0;47.0;51;0.5
0;1969;55;1;0;60;-4026.8299322035805;-116778.06803390384;-175590.82975265384;58812.76171875;58812.76171875;-58812.75;-4026.8299322035805;5964685.714285714;36374400.0;0.0;0.0;0.0;29.0;29;0.25
